u.n.	n	x
group	n	d000.s000.t000
draft	n	x
plan	n	d000.s000.t001
to	x	x
reduce	v	x
emission	n	d000.s000.t002
<eos>	x	x
the	x	x
u.n.-sponsored	a	x
climate	n	d000.s001.t000
conference	n	d000.s001.t001
--	x	x
characterize	v	x
so	r	x
far	r	x
by	x	x
unruly	a	x
posturing	n	d000.s001.t002
and	x	x
mutual	a	x
recrimination	n	d000.s001.t003
--	x	x
gain	v	x
renew	v	x
focus	n	d000.s001.t004
friday	n	d000.s001.t005
with	x	x
the	x	x
release	n	d000.s001.t006
of	x	x
a	x	x
document	n	d000.s001.t007
outline	v	x
ambitious	a	x
greenhouse-gas	a	x
reduction	n	d000.s001.t008
over	x	x
the	x	x
next	a	x
40	x	x
year	n	d000.s001.t009
,	x	x
with	x	x
industrialize	v	x
nation	n	x
shoulder	v	x
most	a	x
of	x	x
the	x	x
burden	n	d000.s001.t010
in	x	x
the	x	x
near	a	x
term	n	d000.s001.t011
.	x	x
<eos>	x	x
the	x	x
text	n	d000.s002.t000
,	x	x
which	x	x
could	v	x
provide	v	x
the	x	x
basis	n	d000.s002.t001
for	x	x
a	x	x
final	a	x
political	a	x
deal	n	d000.s002.t002
to	x	x
regulate	v	x
greenhouse_gas	n	d000.s002.t003
,	x	x
highlight	v	x
the	x	x
remain	v	x
obstacle	n	d000.s002.t004
as	r	x
much	r	x
as	x	x
it	x	x
illuminate	v	x
a	x	x
path	n	d000.s002.t005
forward	r	x
.	x	x
<eos>	x	x
but	x	x
it	x	x
be	v	x
see	v	x
as	x	x
a	x	x
important	a	x
advance	n	d000.s003.t000
in	x	x
a	x	x
negotiation	n	d000.s003.t001
that	x	x
be	v	x
run	v	x
out	x	x
of	x	x
time	n	d000.s003.t002
,	x	x
with	x	x
more	a	x
than	x	x
100	x	x
world	n	d000.s003.t003
leader	n	d000.s003.t004
arrive	v	x
in	x	x
copenhagen	n	d000.s003.t005
next	a	x
week	n	d000.s003.t006
.	x	x
<eos>	x	x
forge	v	x
by	x	x
a	x	x
u.n.	n	x
ad-hoc	a	x
working_group	n	d000.s004.t000
,	x	x
the	x	x
text	n	d000.s004.t001
be	v	x
silent	a	x
on	x	x
how	r	x
much	a	x
money	n	d000.s004.t002
rich	a	x
country	n	d000.s004.t003
would	v	x
give	v	x
poor	a	x
one	n	d000.s004.t004
to	x	x
cope	v	x
with	x	x
global_warming	n	d000.s004.t005
over	x	x
the	x	x
short	a	x
and	x	x
long	a	x
term	n	d000.s004.t006
.	x	x
<eos>	x	x
and	x	x
it	x	x
provide	v	x
a	x	x
range	n	d000.s005.t000
of	x	x
option	n	d000.s005.t001
for	x	x
the	x	x
key	a	x
question	n	d000.s005.t002
,	x	x
include	v	x
how	r	x
developed	a	x
and	x	x
major	a	x
emerge	v	x
economy	n	x
would	v	x
cut	v	x
they	x	x
carbon	n	x
output	n	x
,	x	x
and	x	x
what	x	x
would	v	x
be	v	x
the	x	x
upper_limit	n	d000.s005.t003
of	x	x
global	a	x
temperature	n	d000.s005.t004
rise	n	d000.s005.t005
that	x	x
policymaker	n	x
would	v	x
be	v	x
willing	a	x
to	x	x
tolerate	v	x
.	x	x
<eos>	x	x
it	x	x
give	v	x
a	x	x
lot	n	d000.s006.t000
of	x	x
flexibility	n	d000.s006.t001
to	x	x
the	x	x
process	n	d000.s006.t002
,	x	x
say	v	x
john	n	x
coequyt	n	x
,	x	x
senior	a	x
washington	n	d000.s006.t003
representative	n	d000.s006.t004
for	x	x
the	x	x
sierra	n	x
club	n	x
.	x	x
<eos>	x	x
michael	n	x
zammit	n	x
cutajar	n	x
,	x	x
who	x	x
draft	v	x
the	x	x
six-page	a	x
document	n	d000.s007.t000
,	x	x
boil	v	x
down	x	x
a	x	x
180-page	a	x
negotiation	n	d000.s007.t001
text	n	d000.s007.t002
to	x	x
focus	v	x
on	x	x
what	x	x
the	x	x
u.n.	n	x
's	x	x
top	a	x
climate	n	d000.s007.t003
official	n	d000.s007.t004
,	x	x
yvo	n	x
de	x	x
boer	n	x
,	x	x
describe	v	x
as	x	x
``	x	x
the	x	x
big	a	x
picture	n	d000.s007.t005
.	x	x
''	x	x
<eos>	x	x
it	x	x
show	v	x
the	x	x
outline	n	d000.s008.t000
for	x	x
a	x	x
possible	a	x
deal	n	d000.s008.t001
,	x	x
in	x	x
which	x	x
industrial	a	x
nation	n	x
would	v	x
collectively	r	x
cut	v	x
they	x	x
emission	n	d000.s008.t002
by	x	x
2020	x	x
by	x	x
25	x	x
to	x	x
45	x	x
percent	n	d000.s008.t003
compare	v	x
with	x	x
1990	x	x
level	n	d000.s008.t004
,	x	x
while	x	x
major	a	x
developing_country	n	d000.s008.t005
would	v	x
reduce	v	x
theirs	a	x
during	x	x
the	x	x
same	a	x
period	n	d000.s008.t006
by	x	x
15	x	x
to	x	x
30	x	x
percent	n	d000.s008.t007
.	x	x
<eos>	x	x
together	r	x
,	x	x
the	x	x
country	n	d000.s009.t000
would	v	x
cut	v	x
emission	n	d000.s009.t001
between	x	x
50	x	x
and	x	x
95	x	x
percent	n	d000.s009.t002
by	x	x
2050	x	x
.	x	x
<eos>	x	x
the	x	x
european_union	n	d000.s010.t000
give	v	x
the	x	x
talk	n	d000.s010.t001
a	x	x
boost	n	d000.s010.t002
as	r	x
well	r	x
on	x	x
friday	n	d000.s010.t003
by	x	x
pledge	v	x
to	x	x
provide	v	x
$	x	x
3.6	x	x
billion	x	x
a	x	x
year	n	d000.s010.t004
over	x	x
the	x	x
next	a	x
three	x	x
year	n	d000.s010.t005
to	x	x
help	v	x
poorer	a	x
country	n	d000.s010.t006
adapt	v	x
to	x	x
the	x	x
impact	n	d000.s010.t007
of	x	x
climate_change	n	d000.s010.t008
--	x	x
from	x	x
cope	v	x
with	x	x
flood	n	d000.s010.t009
and	x	x
drought	n	d000.s010.t010
to	x	x
avoid	v	x
deforestation	n	d000.s010.t011
.	x	x
<eos>	x	x
still	r	x
,	x	x
friday	n	d000.s011.t000
feature	v	x
the	x	x
same	a	x
sort	n	d000.s011.t001
of	x	x
verbal	a	x
firework	n	x
that	x	x
have	v	x
dominate	v	x
the	x	x
talk	n	d000.s011.t002
for	x	x
the	x	x
past	a	x
week	n	d000.s011.t003
.	x	x
<eos>	x	x
u.s.	n	d000.s012.t000
special	a	x
climate	n	d000.s012.t001
envoy	n	d000.s012.t002
todd	n	x
stern	n	x
reject	v	x
language	n	d000.s012.t003
require	v	x
binding	n	x
cut	n	d000.s012.t004
of	x	x
greenhouse-gas	a	x
emission	n	d000.s012.t005
for	x	x
industrialized	a	x
country	n	x
compare	v	x
with	x	x
voluntary	a	x
one	n	d000.s012.t006
by	x	x
major	a	x
emerge	v	x
economy	n	x
if	x	x
they	x	x
be	v	x
not	r	x
fund	v	x
by	x	x
the	x	x
developed	a	x
world	n	x
.	x	x
<eos>	x	x
the	x	x
move	n	d000.s013.t000
signal	v	x
that	x	x
the	x	x
obama	n	x
administration	n	x
be	v	x
take	v	x
a	x	x
hard_line	n	d000.s013.t001
with	x	x
china	n	d000.s013.t002
than	x	x
bush_administration	n	d000.s013.t003
official	n	d000.s013.t004
do	v	x
just	r	x
two	x	x
year	n	d000.s013.t005
ago	r	x
.	x	x
<eos>	x	x
the	x	x
united_states	n	d000.s014.t000
be	v	x
not	r	x
go	v	x
to	x	x
do	v	x
a	x	x
deal	n	d000.s014.t001
without	x	x
the	x	x
major	a	x
