that	x	x
'	v	x
what	x	x
the	x	x
man	n	d000.s000.t000
have	v	x
say	v	d000.s000.t001
.	x	x
<eos>	x	x
haney	n	x
peer	v	d000.s001.t000
doubtfully	r	x
at	x	x
he	x	x
drinking	n	x
companion	n	d000.s001.t001
through	x	x
bleary	a	d000.s001.t002
,	x	x
tear-filled	a	x
eye	n	d000.s001.t003
.	x	x
<eos>	x	x
he	x	x
have	v	d000.s002.t000
no	x	x
ready	a	d000.s002.t001
answer	n	d000.s002.t002
,	x	x
as	x	x
much	a	d000.s002.t003
from	x	x
surprise	n	d000.s002.t004
as	x	x
from	x	x
the	x	x
fit	n	d000.s002.t005
of	x	x
coughing	n	d000.s002.t006
.	x	x
<eos>	x	x
be	v	x
the	x	x
man	n	d000.s003.t000
drunk	a	d000.s003.t001
or	x	x
crazy	a	d000.s003.t002
or	x	x
both	x	x
?	x	x
<eos>	x	x
but	x	x
he	x	x
newfound	a	d000.s004.t000
buddy	n	d000.s004.t001
have	v	x
match	v	d000.s004.t002
he	x	x
drink	n	d000.s004.t003
for	x	x
drink	n	d000.s004.t004
until	x	x
he	x	x
lose	v	d000.s004.t005
count	n	d000.s004.t006
,	x	x
and	x	x
the	x	x
man	n	d000.s004.t007
's	x	x
eye	n	d000.s004.t008
be	v	x
still	r	x
clear	a	d000.s004.t009
.	x	x
<eos>	x	x
the	x	x
guy	n	d000.s005.t000
be	v	x
off	x	x
he	x	x
rocker	n	d000.s005.t001
,	x	x
haney	n	x
think	v	d000.s005.t002
to	x	x
himself	x	x
,	x	x
and	x	x
look_away	v	d000.s005.t003
from	x	x
those	x	x
eye	n	d000.s005.t004
.	x	x
<eos>	x	x
eye	n	d000.s006.t000
that	x	x
be	v	x
clear	a	d000.s006.t001
,	x	x
but	x	x
also	r	x
bright	a	d000.s006.t002
with	x	x
a	x	x
strange	a	d000.s006.t003
intensity	n	d000.s006.t004
,	x	x
a	x	x
sort	n	x
of	x	x
cold	a	d000.s006.t005
fire	n	d000.s006.t006
burn	v	d000.s006.t007
behind	x	x
they	x	x
.	x	x
<eos>	x	x
why	r	x
have	v	x
n't	r	x
he	x	x
notice	v	d000.s007.t000
it	x	x
before	x	x
?	x	x
<eos>	x	x
no	r	x
,	x	x
the	x	x
man	n	d000.s008.t000
be	v	x
not	r	x
drunk	a	d000.s008.t001
<eos>	x	x
he	x	x
wonder	v	d000.s009.t000
how	r	x
he	x	x
get	v	d000.s009.t001
tie	v	d000.s009.t002
up	x	x
with	x	x
this	x	x
stranger	n	d000.s009.t003
.	x	x
<eos>	x	x
but	x	x
,	x	x
of	x	x
course	n	x
,	x	x
he	x	x
remember	v	d000.s010.t000
now	r	x
.	x	x
<eos>	x	x
it	x	x
be	v	x
blur	v	d000.s011.t000
,	x	x
after	x	x
two	x	x
hour	n	d000.s011.t001
of	x	x
steady	a	d000.s011.t002
drinking	n	d000.s011.t003
,	x	x
but	x	x
the	x	x
occasion	n	d000.s011.t004
of	x	x
it	x	x
come_back	v	d000.s011.t005
to	x	x
he	x	x
.	x	x
<eos>	x	x
the	x	x
stranger	n	d000.s012.t000
,	x	x
he	x	x
head	n	d000.s012.t001
seemingly	r	x
sink	v	d000.s012.t002
in	x	x
thought	n	d000.s012.t003
,	x	x
start	v	d000.s012.t004
to	x	x
cross	v	d000.s012.t005
the	x	x
street	n	d000.s012.t006
against	x	x
the	x	x
light	n	d000.s012.t007
just	r	x
as	x	x
a	x	x
huge	a	d000.s012.t008
moving_van	n	d000.s012.t009
roar	v	d000.s012.t010
through	x	x
the	x	x
intersection	n	d000.s012.t011
.	x	x
<eos>	x	x
brake	n	d000.s013.t000
howl	v	d000.s013.t001
and	x	x
a	x	x
horn	n	d000.s013.t002
blare	v	d000.s013.t003
furiously	r	x
,	x	x
but	x	x
the	x	x
man	n	d000.s013.t004
would	v	x
have	v	x
be	v	x
hit	v	d000.s013.t005
if	x	x
phil	n	x
have	v	x
n't	r	x
call_out	v	d000.s013.t006
to	x	x
he	x	x
a	x	x
second	n	d000.s013.t007
before	r	x
.	x	x
<eos>	x	x
he	x	x
shout	n	d000.s014.t000
have	v	x
be	v	x
involuntary	a	d000.s014.t001
,	x	x
something	n	x
anybody	n	x
might	v	x
have	v	x
do	v	d000.s014.t002
without	x	x
thinking	n	d000.s014.t003
,	x	x
on_the_spur_of_the_moment	r	d000.s014.t004
.	x	x
<eos>	x	x
as_a_matter_of_fact	r	d000.s015.t000
,	x	x
he	x	x
would	v	x
n't	r	x
have	v	x
care	v	d000.s015.t001
at	x	x
all	x	x
if	x	x
the	x	x
guy	n	d000.s015.t002
have	v	x
be	v	x
hit	v	d000.s015.t003
.	x	x
<eos>	x	x
actually	r	x
,	x	x
he	x	x
regret	v	d000.s016.t000
have	v	x
open	v	d000.s016.t001
he	x	x
mouth	n	d000.s016.t002
when	r	x
the	x	x
truck	n	d000.s016.t003
come_to	v	d000.s016.t004
a	x	x
stop	n	d000.s016.t005
and	x	x
the	x	x
angry	a	d000.s016.t006
driver	n	d000.s016.t007
jump	v	d000.s016.t008
down	r	x
from	x	x
the	x	x
cab	n	d000.s016.t009
and	x	x
walk	v	d000.s016.t010
back	r	x
toward	x	x
they	x	x
.	x	x
<eos>	x	x
by	x	x
then	r	x
,	x	x
the	x	x
stranger	n	d000.s017.t000
be	v	x
thank	v	d000.s017.t001
haney	n	x
profusely	r	x
and	x	x
have	v	d000.s017.t002
one	x	x
arm	n	d000.s017.t003
around	x	x
he	x	x
shoulder	n	d000.s017.t004
as	x	x
if	x	x
he	x	x
be	v	x
a	x	x
old	a	d000.s017.t005
friend	n	d000.s017.t006
.	x	x
<eos>	x	x
so	x	x
the	x	x
driver	n	d000.s018.t000
start	v	d000.s018.t001
to	x	x
curse	v	d000.s018.t002
at	x	x
both	x	x
of	x	x
they	x	x
as	x	x
if	x	x
they	x	x
have	v	x
be	v	x
in	x	x
a	x	x
plot	n	d000.s018.t003
together	r	x
to	x	x
ruin	v	d000.s018.t004
he	x	x
safe	a	d000.s018.t005
record	n	d000.s018.t006
.	x	x
<eos>	x	x
then	r	x
the	x	x
man	n	d000.s019.t000
he	x	x
save	v	d000.s019.t001
turn	v	d000.s019.t002
and	x	x
look	v	d000.s019.t003
squarely	r	x
into	x	x
the	x	x
truck_driver	n	d000.s019.t004
's	x	x
face	n	d000.s019.t005
,	x	x
without	x	x
say	v	d000.s019.t006
a	x	x
word	n	d000.s019.t007
.	x	x
<eos>	x	x
very	r	x
suddenly	r	x
,	x	x
the	x	x
driver	n	d000.s020.t000
stop	v	d000.s020.t001
swear	v	d000.s020.t002
at	x	x
they	x	x
,	x	x
turn	v	d000.s020.t003
on	x	x
he	x	x
heel	n	d000.s020.t004
and	x	x
go	v	x
back	r	x
to	x	x
he	x	x
truck	n	d000.s020.t005
.	x	x
<eos>	x	x
haney	n	x
have	v	x
n't	r	x
give	v	d000.s021.t000
it	x	x
much	a	d000.s021.t001
thought	n	d000.s021.t002
at	x	x
the	x	x
time	n	d000.s021.t003
.	x	x
<eos>	x	x
now	r	x
he	x	x
recall	v	d000.s022.t000
it	x	x
very	r	x
clearly	r	x
,	x	x
and	x	x
wonder	v	d000.s022.t001
what	x	x
the	x	x
truck	n	x
driver	n	x
have	v	x
see	v	d000.s022.t002
in	x	x
those	x	x
eye	n	d000.s022.t003
to	x	x
make	v	d000.s022.t004
he	x	x
back	v	x
off	x	x
.	x	x
<eos>	x	x
it	x	x
must	v	x
have	v	x
be	v	x
the	x	x
sort	n	d000.s023.t000
of	x	x
look	n	d000.s023.t001
that	x	x
can	v	x
call	v	d000.s023.t002
a	x	x
bluff	n	d000.s023.t003
without	x	x
say	v	d000.s023.t004
a	x	x
word	n	d000.s023.t005
.	x	x
<eos>	x	x
when	r	x
the	x	x
light	n	d000.s024.t000
go	v	d000.s024.t001
they	x	x
way	n	d000.s024.t002
,	x	x
they	x	x
go_on	v	d000.s024.t003
across	x	x
the	x	x
street	n	d000.s024.t004
.	x	x
<eos>	x	x
and	x	x
when	r	x
the	x	x
stranger	n	d000.s025.t000
find_out	v	d000.s025.t001
that	x	x
phil	n	x
be	v	x
on_the_way	r	d000.s025.t002
to	x	x
one	x	x
of	x	x
he	x	x
favorite	a	d000.s025.t003
bar	n	d000.s025.t004
,	x	x
he	x	x
insist	v	d000.s025.t005
on	x	x
offer	v	d000.s025.t006
to	x	x
buy	v	d000.s025.t007
drink	n	d000.s025.t008
for	x	x
both	x	x
of	x	x
they	x	x
.	x	x
<eos>	x	x
phil	n	x
usually	r	x
go	v	d000.s026.t000
alone	r	x
and	x	x
keep_to_oneself	v	d000.s026.t001
,	x	x
sit	v	d000.s026.t002
in	x	x
a	x	x
corner	n	d000.s026.t003
and	x	x
pass	v	d000.s026.t004
the	x	x
time	n	d000.s026.t005
by	x	x
nurse	v	d000.s026.t006
he	x	x
favorite	a	d000.s026.t007
grudge	n	d000.s026.t008
.	x	x
<eos>	x	x
but	x	x
he	x	x
decide	v	d000.s027.t000
he	x	x
would	v	x
n't	r	x
mind	v	d000.s027.t001
company	n	d000.s027.t002
in_return	r	d000.s027.t003
for	x	x
free	a	d000.s027.t004
drink	n	d000.s027.t005
,	x	x
even	r	x
though	x	x
he	x	x
make	v	d000.s027.t006
good	a	d000.s027.t007
money	n	d000.s027.t008
at	x	x
he	x	x
job	n	d000.s027.t009
.	x	x
<eos>	x	x
phil	n	x
be	v	x
like	x	x
that	x	x
.	x	x
<eos>	x	x
now	r	x
he	x	x
wonder	v	d000.s029.t000
if	x	x
it	x	x
be	v	x
worth	a	x
it	x	x
,	x	x
have	v	d000.s029.t001
a	x	x
screwball	n	d000.s029.t002
for	x	x
company	n	d000.s029.t003
.	x	x
<eos>	x	x
he	x	x
really	r	x
do	v	x
n't	r	x
take	v	d000.s030.t000
the	x	x
offer	n	d000.s030.t001
seriously	r	x
,	x	x
but	x	x
he	x	x
begin	v	d000.s030.t002
to	x	x
feel	v	d000.s030.t003
uneasy	a	d000.s030.t004
.	x	x
<eos>	x	x
when	r	x
he	x	x
finally	r	x
get	v	d000.s031.t000
the	x	x
coughing	n	d000.s031.t001
under	x	x
control	n	x
,	x	x
he	x	x
realize	v	d000.s031.t002
that	x	x
pete	n	x
-lrb-	x	x
all	x	x
he	x	x
give	v	d000.s031.t003
be	v	x
he	x	x
first_name	n	d000.s031.t004
-rrb-	x	x
be	v	x
still	r	x
wait	v	d000.s031.t005
for	x	x
a	x	x
answer	n	d000.s031.t006
--	x	x
he	x	x
do	v	x
n't	r	x
even	r	x
seem	v	d000.s031.t007
to	x	x
wink	v	d000.s031.t008
as	x	x
he	x	x
continue	v	d000.s031.t009
to	x	x
stare	v	d000.s031.t010
.	x	x
<eos>	x	x
haney	n	x
manage	v	d000.s032.t000
a	x	x
weak	a	d000.s032.t001
laugh	n	d000.s032.t002
.	x	x
<eos>	x	x
``	x	x
guess	v	x
I	x	x
ca	v	x
n't	r	x
think_of	v	d000.s033.t000
of	x	x
anyone	n	x
,	x	x
pete	n	x
.	x	x
<eos>	x	x
thanks	n	d000.s034.t000
anyhow	v	x
``	x	x
<eos>	x	x
a	x	x
faint	a	d000.s035.t000
crease	n	d000.s035.t001
appear	v	d000.s035.t002
between	x	x
the	x	x
man	n	d000.s035.t003
's	x	x
eyebrow	n	d000.s035.t004
.	x	x
<eos>	x	x
``	x	x
I	x	x
think	v	d000.s036.t000
you	x	x
be	v	x
n't	r	x
take	v	d000.s036.t001
I	x	x
seriously	r	x
,	x	x
phil	n	x
.	x	x
<eos>	x	x
I	x	x
mean	v	d000.s037.t000
it	x	x
.	x	x
<eos>	x	x
and	x	x
everybody	n	x
have	v	d000.s038.t000
some	x	x
kind	n	d000.s038.t001
of	x	x
grudge	n	d000.s038.t002
.	x	x
<eos>	x	x
I	x	x
might	v	x
have	v	x
get	v	x
hit	v	d000.s039.t000
by	x	x
that	x	x
truck	n	d000.s039.t001
if	x	x
it	x	x
be	v	x
n't	r	x
for	x	x
you	x	x
.	x	x
<eos>	x	x
I	x	x
believe	v	x
in	x	x
return	v	d000.s040.t000
favor	n	d000.s040.t001
.	x	x
<eos>	x	x
I	x	x
will	v	x
do	v	d000.s041.t000
anything	n	x
for	x	x
somebody	n	d000.s041.t001
I	x	x
like	v	d000.s041.t002
.	x	x
<eos>	x	x
it	x	x
wo	v	x
n't	r	x
cost	v	d000.s042.t000
you	x	x
a	x	x
cent	n	d000.s042.t001
,	x	x
phil	n	x
.	x	x
<eos>	x	x
go_ahead	v	d000.s043.t000
and	x	x
try	v	d000.s043.t001
I	x	x
``	x	x
!	x	x
!	x	x
<eos>	x	x
phil	n	x
rub	v	d000.s044.t000
he	x	x
forehead	n	d000.s044.t001
wearily	r	x
.	x	x
<eos>	x	x
he	x	x
be	v	x
begin	v	d000.s045.t000
to	x	x
feel	v	d000.s045.t001
woolly	a	d000.s045.t002
.	x	x
<eos>	x	x
maybe	r	x
it	x	x
would	v	x
be	v	x
better	a	x
to	x	x
humor	v	d000.s046.t000
the	x	x
guy	n	d000.s046.t001
and	x	x
then	r	x
make	v	d000.s046.t002
a	x	x
exit	n	d000.s046.t003
.	x	x
<eos>	x	x
he	x	x
really	r	x
do	v	x
n't	r	x
expect	v	d000.s047.t000
anything	n	x
to	x	x
come	v	d000.s047.t001
of	x	x
it	x	x
